"이런 예능재미있음.","이런/MDT|예능/NNG|재미/NNG|있음/NNG|./SF" 
"아직 한국에 적응하지 못한듯 자막에 배경색좀 옅게하세여.","아직/MAG|한국/NNG|에/JKM|적응/NNG|하/XSV|지/ECD|못하/VX|ㄴ/ETD|듯/NNB|자막/NNG|에/JKM|배/NNG|경색/NNG|좀/MAG|옅/VA|게/ECD|하세/NNG|여/NNG|./SF"
"앱은 그렇다 치고 저장해서 보는.것도 버벅거림.","앱/NNG|은/JX|그렇/VA|다/ECS|치/VV|고/ECE|저장해/NNG|서/JKM|보/VV|는/ETD|./SF|것/NNB|도/JX|버벅거리/VV|ㅁ/ETN|./SF"
"좋은 앱 감사합니다 잘 받아갑니다.","좋/VA|은/ETD|앱/NNG|감사/NNG|하/XSV|ㅂ니다/EFN|잘/MAG|받/VV|아/ECD|갈/VV|ㅂ니다/EFN|./SF"
"왜 무료아니야.","왜/MAG|무료/NNG|아니/VCN|야/EFN|./SF"
"플레이어 어떻게좀해라 기능최악이네 시대가어느땐데.","플레이어/NNG|어떻/VA|게/ECD|좀/MAG|해/NNG|라/NNG|기능/NNG|최악/NNG|이/JKS|네/MDN|시대/NNG|가/JKS|어느/MAG|때/VV|ㄴ데/ECE|./SF"
"자막 밝기조정도 안되는 쓰레기.","자막/NNG|밝기/NNG|조정/NNG|도/JX|안/MAG|되/VV|는/ETD|쓰레기/NNG|./SF"
"자막 어쩔거냐고요 아니 서비스 시작한지 벌써 몇개월인데 이런 말도 안되는 번역을. 요즘 번역기도 이런 식으로는 안하겠네요 짜증납니다. 독점하고 있는 미드 보려고 결제했는데 거지같네요.","자막/NNG|어쩌/VV|ㄹ/ETD|거/NNB|이/VCP|냐/EFQ|고요/NNG|아니/IC|서비스/NNG|시작/NNG|하/XSV|ㄴ/ETD|지/NNB|벌써/MAG|몇/MDT|개월/NNM|이/VCP|ㄴ데/ECE|이런/MDT|말/NNG|도/JX|안/MAG|되/VV|는/ETD|번역/NNG|을/JKO|./SF|요즘/NNG|번역기/NNG|도/JX|이런/MDT|식/NNB|으로/JKM|는/JX|안/MAG|하/VV|겠/EPT|네요/EFN|짜증/NNG|낳/VV|ㅂ니다/EFN|./SF|독점/NNG|하/XSV|고/ECE|있/VXV|는/ETD|미드/NNG|보/VV|려고/ECD|결제/NNG|하/XSV|었/EPT|는데/ECD|거지/NNG|같/VA|네요/EFN|./SF"
"처음으로 좀 볼까했더니 계속 로딩중 멈추네요 재설치해도.","처음/NNG|으로/JKM|좀/MAG|보/VV|ㄹ까/ECD|하/VV|었/EPT|더니/ECD|계속/NNG|로딩/NNG|중/NNB|멈추/VV|네요/EFN|설치/NNG|하/VV|어도/ECD|./SF"
"한글 UI 지원이 안되나요? 영화제목이 다 영어로 나와서 찾기가 힘드네요.","한글/NNG|UI/OL|지원/NNG|이/JKS|안/MAG|되/VV|나요/EFQ|?/SF|영화/NNG|제목/NNG|이/JKS|다/MAG|영어/NNG|로/JKM|나오/VV|아서/ECD|찾/VV|기/ETN|가/JKS|힘들/VA|네요/EFN|./SF"
"아주제미이서요짱제미슴 별다석개.","아/VV|아/ECS|주제/NNG|미/NNG|이서/NNG|요/JX|짱/MAG|제/XPN|미/NNG|스/VV|ㅁ/ETN|별/NNG|다석/NR|개/NNM|./SF"
"갤럭시 S20 울트라에서 3월부터 먹통.","갤럭시/NNG|S/OL|20/NR|울트라/NNG|에서/JKM|3/NR|월/NNM|부터/JX|먹통/NNG|./SF"
"24일에 정기결제인데 왜 23일에 결제가 되나요? 환불해주세요 9900원.","24/NR|일/NNM|에/JKM|정기/NNG|결제/NNG|이/VCP|ㄴ데/ECE|왜/MAG|23/NR|일/NNM|에/JKM|결제/NNG|가/JKC|되/VV|나요/EFQ|?/SF|환불/NNG|하/XSV|어/ECS|주/VXV|세요/EFN|9900/NR|원/NNM|./SF"
"안녕하세요 디즈니를 좋아하는 한 학생인데요 저장이 문제 입니다. 왜냐면 저장이 며칠이 걸리고 저장을 했는데도 갤러리에 안 들어와 있습니다. 영화를 보는건 좋아요.","안녕/NNG|하세/NNG|요/JX|디즈니/NNG|를/JKO|좋/VV|는/ETD|한/NNG|학생/NNG|이/VCP|ㄴ데요/ECE|저장/NNG|이/JKS|문제/NNG|이/VCP|ㅂ니다/EFN|./SF|왜냐면/MAG|저장/NNG|이/JKS|며칠/NNG|이/JKS|걸리/VV|고/ECE|저장/NNG|을/JKO|하/VV|었/EPT|는데/ECD|도/JX|갤러리/NNG|에/JKM|안/MAG|들어오/VV|아/ECS|있/VXV|습니다/EFN|./SF|영화/NNG|를/JKO|보/VV|는/ETD|것/NNB|은/JKS|좋/VA|아요/EFN|./SF"
"앱 내의 카테고리 안내가 한글지원 안되나요? 굉장히 불편하네요.","앱/NNG|내의/NNG|카테고리/NNG|안내/NNG|가/JKS|한글/NNG|지원/NNG|안/MAG|되/VV|나요/EFQ|?/SF|굉장히/MAG|불편/NNG|하/XSV|네요/EFN|./SF"
"안녕하세요. 담당자님 서비스를 잘 이용하고 있습니다만 이러한점은 개선되었으면 좋겠단 생각에 리뷰를 남깁니다. 안드로이드 폰을 이용중이며 홈화면으로 이동할때 아이폰과같이 밑에서 위로 쓸어올리기를 이용중입니다. 화면 재생중 홈화면으로 가기위해 밑에서 위로 화면 제일 아래에서 위로 쓸어올리다보면 자꾸 네비게이션 바가 움직여 시청하던 부분이 움직이게 됩니다. 해당 부분 참고하시어 다음 업데이트때 사용자분들이 좀 더 편리할수있는 환경을 만들어주세요. 감사합니다.","안녕/NNG|하/XSV|세요/EFN|./SF|담당자/NNG|님/XSN|서비스/NNG|를/JKO|잘/MAG|이용/NNG|하/XSV|고/ECE|있/VXV|습니다만/ECE|이러하/VA|ㄴ/ETD|점/NNG|은/JX|개선/NNG|되/XSV|었/EPT|으면/ECD|좋/VA|겠/EPT|단/ETD|생각/NNG|에/JKM|리뷰/NNG|를/JKO|남기/VV|ㅂ니다/EFN|./SF|안드로이드/NNG|스마트폰/NNG|을/JKO|이용/NNG|중/NNB|이/VCP|며/ECE|홈/NNG|화면/NNG|으로/JKM|이동/NNG|하/XSV|ㄹ/ETD|때/NNG|아이/NNG|스마트폰/NNG|과/JKM|같이/MAG|밑에서/NNG|위/NNG|로/JKM|쓸어올리/VV|기/ETN|를/JKO|이용/NNG|중/NNB|이/VCP|ㅂ니다/EFN|./SF|화면/NNG|재생/NNG|중/NNB|홈/NNG|화면/NNG|으로/JKM|가/VV|기/ETN|위하/VV|어/ECS|밑/NNG|에서/JKM|위로/NNG|화면/NNG|제일/NNG|아래/NNG|에서/JKM|위로/NNG|쓸어올리/VV|다/ECS|보/VV|면/ECE|자꾸/MAG|네비게이션/NNG|바/NNG|가/JKS|움직이/VV|어/ECS|시청/NNG|하/XSV|더/EPT|ㄴ/ETD|부분/NNG|이/JKS|움직이/VV|게/ECD|되/VV|ㅂ니다/EFN|./SF|하/VV|어/ECS|당/NNG|부분/NNG|참고하/VV|시/EPH|어/ECD|다음/NNG|업데이트/NNG|때/NNG|사용자/NNG|분/NNG|들/XSN|이/JKS|좀/MAG|더/MAG|편리/NNG|하/XSV|ㄹ/ETD|수/NNB|있/VV|는/ETD|환경/NNG|을/JKO|만들/VV|어/ECD|주/VXV|세요/EFN|./SF|감사/NNG|하/XSV|ㅂ니다/EFN|./SF"
"UI 편리성 떨어지는건 말 안해도 많은 사용자들이 건의하는 내용이라 스킵하고요 디즈니앱에서 디즈니와 연관 없는 한국 드라마를 인기작이나 신작 위주로 변경되는 메인에 어째서 붙박이로 백날 모셔놓고 독점노출시키는 건지 모르겠군요. 카테고리별로 집어넣어서 스크롤 내리는 족족 똑같은 컨텐츠 반복 홍보시키는 것도 다반사. 디즈니 보려고 돈내고 구독하는건데 디즈니 위주로 광고하십시오.","UI/OL|편리성/NNG|떨어지/VV|는/ETD|것/NNB|은/JKS|말/NNG|안해/NNG|도/JX|많/VA|은/ETD|사용자/NNG|들/XSN|이/JKS|건의/NNG|하/XSV|는/ETD|내용/NNG|이/VCP|라/ECD|스킵/NNG|하/NNB|고요/NNG|디즈니/NNG|앱/NNG|에서/JKM|디즈니/NNG|와/JKM|연관/NNG|없/VA|는/ETD|한국/NNG|드라마/NNG|를/JKO|인기/NNG|작/NNG|이나/JX|신작/NNG|위주/NNG|로/JKM|변경/NNG|되/XSV|는/ETD|메인/NNG|에/JKM|어째/MAG|서/VV|어/ECS|붙박이/NNG|로/JKM|백날/MAG|모시/VV|어/ECS|놓/VXV|고/ECE|독점/NNG|노출/NNG|시키/XSV|는/ETD|것/NNB|이/VCP|ㄴ지/ECS|모르/VV|겠/EPT|군요/EFI|./SF|카테고리/NNG|별/NNG|로/JKM|집어넣/VV|어서/ECD|스크롤/NNG|내리/VV|는/ETD|족족/MAG|똑같/VA|은/ETD|컨텐츠/NNG|반복/NNG|홍보/NNG|시키/XSV|는/ETD|것/NNB|도/JX|다반사/NNG|./SF|디즈니/NNG|보/VV|려고/ECD|돈/NNG|내/VV|구독/NNG|하/XSV|는/ETD|것/NNB|이/VCP|ㄴ데/ECD|디즈니/NNG|위주/NNG|로/JKM|광고/NNG|하/VV|시/EPH|ㅂ시오/EFN|./SF"
"최악임 넷플 쿠팡플레이 사용하는데 일단 소형하몀 안됨 갤럭시기준 배속기능없음 다음화도 못넘김 왓차도써보고 다른것도 써봤는데 디즈니플러스가 기능 제일별로임.","최악/NNG|임/NNG|넷플릭스/NNG|쿠팡/NNP|플레이/NNG|사용/NNG|하/XSV|는데/ECD|일단/MAG|소형/NNG|하몀/UN|안/MAG|되/VV|갤럭시/NNG|기준/NNG|배속/NNG|기능/NNG|없/VA|음/ETN|다음/NNG|화/XSN|도/JX|못/MAG|넘기/VV|ㅁ/ETN|왓차/NNG|도/JX|써보/VV|고/ECE|다르/VA|ㄴ/ETD|것/NNB|도/JX|쓰/VV|어/ECS|보/VV|았/EPT|는데/ECD|디즈니플러스/NNG|가/JKS|기능/NNG|제일/NNG|별로/MAG|임/NNG|./SF"
"아니 몇번을 재설치핻느 왜 제멋대로 영어버전이 되며 어플엔 언어선택사항은 있지도않고 이렇게 불편하게만들기도 쉽지않겠네 왜 업계1위가있는지 좀 봤으면좋겠네.","아니/IC|몇/MDT|번/NNB|을/JKO|재/XPN|설치/NNG|핻느/UN|왜/MAG|제멋대로/MAG|영어/NNG|버전/NNG|이/JKC|되/VV|며/ECE|앱/NNG|에/JKM|는/JX|언어/NNG|선택/NNG|사항/NNG|은/JX|있/VV|지/ECD|도/JX|안/MAG|고/ECE|이렇/VA|게/ECD|불편/NNG|하/XSV|게/ECD|만들기/NNG|도/JX|쉽/VA|지/ECD|안/MAG|겠/EPT|네/EFN|왜/MAG|업계/NNG|1/NR|위/NNM|가/JKS|있/VV|는지/ECS|좀/MAG|보/VV|았/EPT|으면/ECD|좋/VA|겠/EPT|네/EFN|./SF"
"색인 옵션이 많이 부족합니다. 디즈니 스튜디오 작품만 따로 찾아보거나 빈티지 디즈니 작품들이 얼마나 있는지 알고 싶어도 개별 작품명으로밖에 검색이 되지 않으니 불편합니다.","색인/NNG|옵션/NNG|이/JKS|많이/MAG|부족/NNG|하/XSV|ㅂ니다/EFN|./SF|디즈니/NNG|스튜디오/NNG|작품/NNG|만/JX|따로/MAG|찾/VV|거나/ECE|빈티지/NNG|디즈니/NNG|작품/NNG|들/XSN|이/JKS|얼마나/MAG|있/VV|는지/ECS|알/VV|고/ECE|싶/VXA|어도/ECD|개별/NNG|작품/NNG|명/NNG|으로/JKM|밖/NNG|에/JKM|검색/NNG|이/JKC|되/VV|지/ECD|안/MAG|으니/ECD|불편/NNG|하/XSV|ㅂ니다/EFN|./SF"
"디플 비추천합니다 중간에 환불하려면 까다롭고 환불도 안해줍니다.","디즈니플러스/NNG|비/NNG|추천/NNG|하/XSV|ㅂ니다/EFN|중간/NNG|에/JKM|환불/NNG|하/XSV|려면/ECE|까다롭/VA|고/ECE|환불/NNG|도/JX|안/MAG|하/VV|어/ECS|주/VXV|ㅂ니다/EFN|./SF"
"몇번을 시도했는데 역시 쉽지가 않네요.","몇/MDT|번/NNB|을/JKO|시도/NNG|하/XSV|었/EPT|는데/ECD|역시/MAG|쉽/VA|지/ECD|가/VV|아/ECS|안/MAG|네요/EFN|./SF"
"아예 설치조차 안되는.","아예/MAG|설치/NNG|조차/JX|안/MAG|되/VV|어/ECS|는/JX|./SF"
"삭제 후 재설치를 진짜 몇번을 해봤는데도 로딩만 되고 오류코드 뜨고 실행도 안되고 에휴. 돈 아까워요.","삭제/NNG|후/NNG|재/XPN|설치/NNG|를/JKO|진짜/NNG|몇/MDT|번/NNB|을/JKO|해보/VV|았/EPT|는데/ECD|도/JX|로딩/NNG|만/JX|되/VV|고/ECE|오류/NNG|코드/NNG|뜨/VV|고/ECE|실행/NNG|도/JX|안/MAG|되/VV|고/ECE|에/JKM|어휴/IC|./SF|돈/NNG|아깝/VA|어요/EFN|./SF"
"아니 이거 너무끈기는데 해결좀요.","아니/IC|이거/NP|너무/MAG|끈기/NNG|는/JX|데/MAG|해결/NNG|좀/MAG|요/JX|./SF"
"좋아요 사진 찍고 저장하는 기능넣어주세요.","좋/VA|아요/EFN|사진/NNG|찍/VV|고/ECE|저장/NNG|하/XSV|는/ETD|기능/NNG|넣/VV|어/ECD|주/VXV|세요/EFN|./SF"
"자막좀 어떻게 제대로 할수 없습니까? 영화 토르 라그라로크 자막 보셨습니까? 대한미국놈이 자막을써도 그것보다 성의있게 만들겠습니다. 한국시장에 들어왔으면 이런거라도 제대로 해줘야 하는거 아닙니까? 자막들좀 제대로 해주세요.","자막/NNG|좀/MAG|어떻/VA|게/ECD|제대로/MAG|하/VV|ㄹ/ETD|수/NNB|없/VA|습니까/EFQ|?/SF|영화/NNG|토르/NNG|라/NNG|그/MDT|라로크/UN|자막/NNG|보시/VV|었/EPT|습니까/EFQ|?/SF|대하/VV|ㄴ/ETD|미국/NNG|놈/NNB|이/JKS|자막/NNG|을/JKO|쓰/VV|어도/ECD|그것/NP|보다/JKM|성의/NNG|있/VV|게/ECD|만들/VV|겠/EPT|습니다/EFN|./SF|한국/NNG|시장/NNG|에/JKM|들어오/VV|았/EPT|으면/ECD|이렇/VA|ㄴ/ETD|거/NNB|라도/JX|제대로/MAG|하/VV|어/ECS|주/VXV|어야/ECD|하/VV|는/ETD|거/NNB|아니/VCN|ㅂ니까/EFQ|?/SF|자막/NNG|들/XSN|좀/MAG|제대/NNG|로/JKM|하/VV|어/ECS|주/VXV|세요/EFN|./SF"
"제가 디즈니 많이 사용 해요 근데 자막이 너무 작아서 자막 크기 설정 있으면 좋겠어요 빨리 자막 크기 설정 하는거 넣어주세요 빨리좀 해결 해주시면 감사하겠습니다.","제가/NNG|디즈니/NNG|많이/MAG|사용/NNG|해/NNG|요/JX|근데/MAG|자막/NNG|이/JKS|너무/MAG|작/VA|아서/ECD|자막/NNG|크기/NNG|설정/NNG|있/VV|으면/ECD|좋/VA|겠/EPT|어요/EFN|빨리/MAG|자막/NNG|크기/NNG|설정/NNG|하/VV|는/ETD|거/NNB|넣/VV|어/ECD|주/VXV|세요/EFN|빨리/MAG|좀/MAG|해결/NNG|하/VV|어/ECS|주/VXV|시/EPH|면/ECE|감사/NNG|하/XSV|겠/EPT|습니다/EFN|./SF"
"앱 최적화 최악.","앱/NNG|최적화/NNG|최악/NNG|./SF"
"멤버쉽 해지 하기가 너무힘이듬 구글플레이에서관리하라는데 들어가면 내용이 없음 무한반복 멤버쉽 해지 해 주세요.","멤버쉽/NNG|해지/NNG|하기/NNG|가/JKS|너무/MAG|힘/NNG|이듬/NNG|구글/NNG|플레이/NNG|에서/JKM|관리/NNG|하/XSV|라는/ETD|데/NNB|들어가/VV|면/ECE|내용/NNG|이/JKS|없/VA|음/ETN|무한/NNG|반복/NNG|멤버쉽/NNG|해지/NNG|하/VV|어/ECS|주/VXV|세요/EFN|./SF"
"9900원 환불좀. 카드 갱신되서 새카드 등록후 취소 신청했는데 다음달것 9900원 이 결제됨. 어디다가 전화해야되?","9900/NR|원/NNM|환불/NNG|좀/MAG|./SF|카드/NNG|갱신/NNG|되/XSV|서/ECD|새/NNG|카드/NNG|등록/NNG|후/NNG|취소/NNG|신청/NNG|하/XSV|었/EPT|는데/ECD|다음/NNG|닿/VV|ㄹ/ETD|것/NNB|9900/NR|원/NNM|이/NNG|결제/NNG|되/XSV|ㅁ/ETN|./SF|어디/NP|다그/VV|아/ECS|전화/NNG|하/XSV|어야/ECD|되/VV|어/ECS|?/SF"
"영상을볼때 배속기능과 회차정보를 보는등의 기능이없어서 너무너무아쉽다 제발만들어주세요.","영상/NNG|을/JKO|보/VV|ㄹ/ETD|때/NNG|배속/NNG|기능/NNG|과/JKM|회/NNG|차/NNG|정보/NNG|를/JKO|보/VV|는/ETD|등/NNB|의/JKG|기능/NNG|이/JKS|없/VA|어서/ECD|너무너무/MAG|아쉽/VA|다/ECS|제발/MAG|만들/VV|어/ECD|주/VXV|세요/EFN|./SF"
"만족하고 잘보고 있어요. 근데 태블릿으로 볼때 다른 작품은 잘 나오는데 왜 백설공주만 화면이 안나오고 오디오만 나오는거죠? 그래서 백설공주 OST 감상중임.","만족/NNG|하/XSV|고/ECE|잘/MAG|보/VV|고/ECE|있/VXV|어요/EFN|./SF|근데/MAG|태블릿/NNG|으로/JKM|보/VV|ㄹ/ETD|때/NNG|다른/MDT|작품/NNG|은/JX|잘/MAG|나오/VV|는데/ECD|왜/MAG|백설/NNG|공주/NNG|만/JX|화면/NNG|이/JKS|안/MAG|나오/VV|고/ECE|오디오/NNG|만/JX|나오/VV|는/ETD|것/NNB|이/VCP|죠/EFN|?/SF|그래서/MAG|백설/NNG|공주/NNG|OST/OL|감상/NNG|중임/NNG|./SF"
"컨텐츠점 추가 해라 진짜 볼거 없네.","컨텐츠/NNG|점/NNG|추가/NNG|해/NNG|이/VCP|라/EFN|진짜/MAG|보/VV|ㄹ/ETD|거/NNB|없/VA|네/EFN|./SF"
"이준기 전소민.","이/NP|준기/UN|전소/NNG|민/NNG|./SF"
"매우 좋아요.","매우/MAG|좋/VA|아요/EFN|./SF"
"여러번 지웠다 새로깔고 접속해도 도입화면에서부터 멈춰서 로딩이안되는데 뭐 이따위로 운영하지? 돈만 쳐 받아가지마시고 해결빨리하고 삼일간 못본거 손해배상하시죠 짜증나니까 빨리 답주는게 좋을거예요.","여러/MDT|번/NNB|지우/VV|었/EPT|다/ECS|새로/MAG|깔/VV|고/ECE|접속/NNG|하/XSV|어도/ECD|도입/NNG|화면/NNG|에서/JKM|부터/JX|멈추/VV|어서/ECD|로딩/NNG|이/JKS|안/MAG|되/VV|는데/ECD|뭐/NP|이따/MAG|위로/NNG|운영/NNG|하/XSV|지/ECD|?/SF|돈만/NNG|치/VV|어/ECS|받/VV|아/ECD|가/VV|지/ECD|마시/VV|고/ECE|해결/NNG|빨리/MAG|하/VV|고/ECE|삼일/NNG|간/NNG|못/MAG|보/VV|ㄴ/ETD|거/NNB|손해/NNG|배상/NNG|하/XSV|시/EPH|죠/EFN|짜증나/VV|니까/ECD|빨리/MAG|답/NNG|주/VV|는/ETD|것/NNB|이/JKS|좋/VA|을/ETD|거/NNB|이/VCP|에요/EFN|./SF"
"로딩하다가 멈춰서 아예 작동이 안된지 이주일이 넘었어요. 삭제하고 재설치를 몇번이나 하고 오류메세지도 보냈지만 계속 안되네요. 이런 앱은 처음봐요. 해결방법이 없나요?","로딩하다/UN|가/JKS|멈추/VV|어서/ECD|아예/MAG|작동/NNG|이/JKS|안/MAG|되/VV|ㄴ지/ECD|이주일/NNG|이/JKS|넘/VV|었/EPT|어요/EFN|./SF|삭제/NNG|하/XSV|고/ECE|재/XPN|설치/NNG|를/JKO|몇/MDT|번/NNB|이나/JX|하/VV|고/ECE|오류/NNG|메세지/NNG|도/JX|보내/VV|었/EPT|지만/ECE|계속/MAG|안/MAG|되/VV|네요/EFN|./SF|이런/MDT|앱/NNG|은/JX|처음/NNG|보/VV|아요/EFN|./SF|해결/NNG|방법/NNG|이/JKS|없/VA|나요/EFQ|?/SF"
"화면이 너무 어두움 짜증나게 뭔화면인지도 안보임. 참고로 화면밝기 최대로 올려도 너무컴컴함. 자체적으로 컨텐츠업로드할때 조절좀 해야할듯.","화면/NNG|이/JKS|너무/MAG|어두움/NNG|짜증나/VV|게/ECD|뭔/MDT|화면/NNG|인지도/NNG|안/NNG|보임/NNG|./SF|참고/NNG|로/JKM|화면/NNG|밝기/NNG|최대/NNG|로/JKM|오르/VV|어도/ECD|너무/MAG|컴컴/XR|하/XSA|ㅁ/ETN|./SF|자체/NNG|적/XSN|으로/JKM|컨텐츠/NNG|업로드/NNG|하/XSV|ㄹ/ETD|때/NNG|조절/NNG|좀/MAG|하/VV|어야/ECD|하/VV|ㄹ/ETD|듯/NNB|./SF"
"앱깔고스탠바이미로 보려고하는데 가입까지는 됐는데 아예들어가지질 않아요.응답이 없다고 자꾸떠요.어쩌라는건지.","앱/NNG|깔/VV|고/ECE|스탠/UN|바이/MAG|미/NNG|로/JKM|보/VV|려고/ECD|하/VV|는데/ECD|가입/NNG|까지/JX|늘/VV|ㄴ/ETD|되/VV|었/EPT|는데/ECD|아예/MAG|들어가/VV|지/ECD|질/NNG|안/MAG|아요/EFN|./SF|응답/NNG|이/JKS|없다/VA|고/ECE|자꾸/MAG|뜨/VV|어요/EFN|./SF|어쩌/VV|라는/ETD|것/NNB|이/VCP|ㄴ지/ECS|./SF"
"아니 돈은 나가는데 볼 수 없는 OTT 서비스 앱이 있다? PIN 번호 제대로 눌러도 못 넘어가고 혼자 꺼져버리면 어쩌란 걸까.","아니/IC|돈/NNG|은/JX|나가/VV|는데/ECD|보/VV|ㄹ/ETD|수/NNB|없/VA|는/ETD|OTT/OL|서비스/NNG|앱/NNG|이/JKS|있/VV|다/EFN|?/SF|PIN/OL|번호/NNG|제대/NNG|로/JKM|누르/VV|어도/ECD|못/MAG|넘/VV|고/ECE|혼자/NNG|꺼지/VV|어/ECS|버리/VXV|면/ECE|어쩌/VV|란/ETD|걸/VV|ㄹ까/EFQ|./SF"
"제발 박지훈 번역가 좀 버리세요. 그랜드 부다페스트 호텔 마지막 대사가 영화랑 너무 안 맞아서 찾아봤더니 역시나네요. 자막 오역 좀 고쳐주세요. 캐릭터성을 완전 바꿔놓고 있네. 진짜 최악.","제발/MAG|박지/NNG|훈/NNG|번역가/NNG|좀/MAG|버리/VV|세요/EFN|./SF|그랜드/NNG|부/NNG|다/MAG|페스트/NNG|호텔/NNG|마지막/NNG|대사/NNG|가/JKS|영화/NNG|랑/JC|너무/MAG|안/MAG|맞/VV|아서/ECD|찾/VV|았/EPT|더니/ECD|역시나/NNG|이/VCP|네요/EFN|./SF|자막/NNG|오역/NNG|좀/MAG|고치/VV|어/ECS|주/VXV|세요/EFN|./SF|캐릭터/NNG|성/NNG|을/JKO|완전/NNG|바꾸/VV|어/ECS|놓/VXV|고/ECE|있/VXV|네/EFN|./SF|진짜/NNG|최악/NNG|./SF"
"홈화면부터 로딩하다 멈추고 다운로드 화면으로 가서 재생해도 안 되네요.","홈/NNG|화면/NNG|부터/JX|로딩/NNG|하다/NNP|멈추/VV|고/ECE|다운로드/NNG|화면/NNG|으로/JKM|가/VV|아서/ECD|재생/NNG|하/XSV|어도/ECD|안/MAG|되/VV|네요/EFN|./SF"
"스파이더맨 노웨이홈이 BTV같은데는 이미 올라왔는데 디즈니플러스가 더 느린건 좀 슬프지 않나요?","스파이/NNG|더/MAG|매/VV|ㄴ/ETD|노웨이홈/UN|이/JKS|BTV/OL|같/VA|은데/ECD|는/JX|이미/MAG|오르/VV|았/EPT|는데/ECD|디즈니플러스/NNG|가/JKS|더/MAG|느리/VA|ㄴ/ETD|것/NNB|은/JKS|좀/MAG|슬프/VA|지/ECD|안/MAG|나요/EFQ|?/SF"
"영상 배속.","영상/NNG|배속/NNG|./SF"
"디즈니플러스 좋지만 문제점은 모바일 자막이기때문에 자막색이다 검정색이요. 색깔 설정이 어디서 몰라.","디즈니플러스/NNG|좋/VA|지만/ECE|문제점/NNG|은/JX|스마트폰/NNG|자막/NNG|이/VCP|기/ETN|때문/NNB|에/JKM|자막/NNG|색/NNG|이/VCP|다/ECS|검정색/NNG|이/JX|요/JX|./SF|색깔/NNG|설정/NNG|이/JKS|어디/NP|서/JKM|몰/VV|ㄹ라/ECD|./SF"
"접속이 안되요 저만그런건지 왜그런건가요? 몇일댔는데 슬 짜증이 올라올려고하네요 접속이되야 결제취소를 하던지 할텐데 뭐하는건가요.","접속/NNG|이/JKS|안/MAG|되/VV|어요/EFN|저/NP|만/JX|그렇/VA|ㄴ/ETD|것/NNB|이/VCP|ㄴ지/ECS|왜/MAG|그러/VV|ㄴ/ETD|것/NNB|이/VCP|ㄴ가요/EFQ|?/SF|몇/MDT|일/NNG|대/VV|었/EPT|는데/ECD|스/VV|ㄹ/ETD|짜증/NNG|이/JKS|올르/VV|아/ECS|올/VV|려고/ECD|하/VV|네요/EFN|접속/NNG|이/JKC|되/VV|어/ECS|야/JX|결제/NNG|취소/NNG|를/JKO|하/VV|던지/ECD|하/VV|ㄹ/ETD|터/NNB|이/VCP|ㄴ데/ECE|뭐하/VV|는/ETD|것/NNB|이/VCP|ㄴ가요/EFQ|./SF"
"마블 넷플릭스 시리즈 디플 코리아에는 왜 없는지?","마블/NNG|넷플릭스/NNG|시리즈/NNG|디즈니플러스/NNG|코리아/NNG|에/JKM|는/JX|왜/MAG|없/VA|는지/ECS|?/SF"
"다운로드 받은 영상도 버벅거리고 실행도 제대로 안되고 자막 배속 등 불편사항에 대한 고객들 글들이 많은데. 이런 고객불편사항을 담당하는 직원들은 있는지도 의문스럽네요. 결재를 더이상 안해야되는건지.","다운로드/NNG|받/VV|은/ETD|영상/NNG|도/JX|버벅거리/VV|고/ECE|실행/NNG|도/JX|제대로/MAG|안/MAG|되/VV|자막/NNG|배속/NNG|등/NNB|불편/NNG|사항/NNG|에/JKM|대하/VV|ㄴ/ETD|고객/NNG|들/XSN|글/NNG|들/XSN|이/JKS|많/VA|은데/ECD|./SF|이런/MDT|고객/NNG|불편/NNG|사항/NNG|을/JKO|담당/NNG|하/XSV|는/ETD|직원/NNG|들/XSN|은/JX|있/VV|는지/ECS|도/JX|의문/NNG|스럽/XSA|네요/EFN|./SF|결재/NNG|를/JKO|더/MAG|이상/NNG|안/MAG|하/XSV|어야/ECD|되/VV|는/ETD|것/NNB|이/VCP|ㄴ지/ECS|./SF"
"그룹워치는 같은 계정끼리는 못 보나요? 그런거면 돈 날렸네요.","그룹워치/UN|는/JX|같/VA|은/ETD|계정/NNG|끼리/XSN|는/JX|못/MAG|보/VV|나요/EFQ|?/SF|그러/VV|ㄴ/ETD|거/NNB|이/VCP|면/ECE|돈/NNG|날리/VV|었/EPT|네요/EFN|./SF"
"앱 한글화도 별로고 영상자막은 정말 영상보기싫게 만든다 최악이다.","앱/NNG|한글/NNG|화/XSN|도/JX|별로/MAG|고/NNG|영상/NNG|자막/NNG|은/JX|정말/MAG|영상/NNG|보/VV|기/ETN|싫/VA|게/ECD|만들/VV|ㄴ다/ECS|최악/NNG|이/VCP|다/EFN|./SF"
"배속 설정 가능하게 업데이트 할 계획이 없나요? 답변바랍니다.","배속/NNG|설정/NNG|가능/NNG|하/XSV|게/ECD|업데이트/NNG|하/VV|ㄹ/ETD|계획/NNG|이/JKS|없/VA|나요/EFQ|?/SF|답변/NNG|바라/VV|ㅂ니다/EFN|./SF"
